unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,descriptor_2,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,council_district,police_precinct,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
70092639,2026-08-18T01:44:17.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,,Street/Sidewalk,11378.0,66-03 52 AVENUE,52 AVENUE,66 STREET,67 STREET,66 STREET,67 STREET,ADDRESS,MASPETH,52 AVENUE,,In Progress,,,,05 QUEENS,30.0,Precinct 104,4024130013.0,QUEENS,1012273.0,206576.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.73363566940292,-73.89888535765148,POINT (-73.898885357651 40.733635669403)
70098333,2026-08-18T01:44:10.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11370.0,30-22 82 STREET,82 STREET,30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,ADDRESS,EAST ELMHURST,82 STREET,,In Progress,,,,03 QUEENS,25.0,Precinct 115,4011300016.0,QUEENS,1015750.0,216395.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.76057463548654,-73.88629341492201,POINT (-73.886293414922 40.760574635487)
70093245,2026-08-18T01:43:59.000,,NYPD,New York City Police Department,Drinking,In Public,,Street/Sidewalk,10452.0,WEST 163 STREET,WEST 163 STREET,WEST 163 STREET,WOODYCREST AVENUE,WEST 163 STREET,WOODYCREST AVENUE,INTERSECTION,,,,In Progress,,,,04 BRONX,16.0,Precinct 44,,BRONX,1004019.0,242369.0,PHONE,Unspecified,BRONX,,,,,,,,40.83190020023402,-73.92856270428858,POINT (-73.928562704289 40.831900200234)
70099618,2026-08-18T01:43:18.000,,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,11423.0,90-52 185 STREET,185 STREET,90 AVENUE,JAMAICA AVENUE,90 AVENUE,JAMAICA AVENUE,ADDRESS,HOLLIS,185 STREET,,In Progress,,,,12 QUEENS,23.0,Precinct 103,4099060031.0,QUEENS,1046714.0,198263.0,PHONE,Unspecified,QUEENS,,,,,,,,40.71064239401159,-73.7746903661992,POINT (-73.774690366199 40.710642394012)
70096829,2026-08-18T01:43:06.000,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,,Residential Building/House,10029.0,1539 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST 98 STREET,EAST 99 STREET,EAST 98 STREET,EAST 99 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,,In Progress,,,,11 MANHATTAN,8.0,Precinct 23,1016260021.0,MANHATTAN,998161.0,226170.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7874496154171,-73.94976474816164,POINT (-73.949764748162 40.787449615417)
70098813,2026-08-18T01:42:03.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10469.0,2715 THROOP AVENUE,THROOP AVENUE,ALLERTON AVENUE,ARNOW AVENUE,ALLERTON AVENUE,ARNOW AVENUE,ADDRESS,BRONX,THROOP AVENUE,,In Progress,,,,11 BRONX,13.0,Precinct 49,2045250057.0,BRONX,1025459.0,254745.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8657946017984,-73.8510111255285,POINT (-73.851011125528 40.865794601798)
70099793,2026-08-18T01:41:58.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,10031.0,572 WEST 141 STREET,WEST 141 STREET,HAMILTON PLACE,BROADWAY,HAMILTON PLACE,BROADWAY,ADDRESS,NEW YORK,WEST 141 STREET,,In Progress,,,,09 MANHATTAN,7.0,Precinct 30,1020720059.0,MANHATTAN,997691.0,239307.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.82350778296357,-73.95143570564339,POINT (-73.951435705643 40.823507782964)
70100358,2026-08-18T01:41:39.000,,DOT,Department of Transportation,Street Condition,Cave-in,,Street,10013.0,6 AVENUE,6 AVENUE,6 AVENUE,GRAND STREET,6 AVENUE,GRAND STREET,INTERSECTION,,,,In Progress,,,,02 MANHATTAN,1.0,Precinct 1,,MANHATTAN,982848.0,202677.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7229781473266,-74.00505798904624,POINT (-74.005057989046 40.722978147327)
70098344,2026-08-18T01:41:13.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,10303.0,8 ANDREA PLACE,ANDREA PLACE,SPARTAN AVENUE,CEDARWOOD COURT,SPARTAN AVENUE,CEDARWOOD COURT,ADDRESS,STATEN ISLAND,ANDREA PLACE,,In Progress,,,,01 STATEN ISLAND,49.0,Precinct 121,5016700052.0,STATEN ISLAND,938077.0,167313.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.62579171814912,-74.16633566029314,POINT (-74.166335660293 40.625791718149)
70093240,2026-08-18T01:41:09.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,,Street/Sidewalk,10452.0,1465 TOWNSEND AVENUE,TOWNSEND AVENUE,EAST 171 STREET,EAST 172 STREET,EAST 171 STREET,EAST 172 STREET,ADDRESS,BRONX,TOWNSEND AVENUE,,In Progress,,,,04 BRONX,16.0,Precinct 44,2028440021.0,BRONX,1007557.0,245808.0,MOBILE,Unspecified,BRONX,,,,,,,,40.84133062706953,-73.91576583802922,POINT (-73.915765838029 40.84133062707)
70096271,2026-08-18T01:40:54.000,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,,Residential Building/House,11233.0,BERGEN STREET,BERGEN STREET,BERGEN STREET,SARATOGA AVENUE,BERGEN STREET,SARATOGA AVENUE,INTERSECTION,,,,In Progress,,,,16 BROOKLYN,41.0,Precinct 73,,BROOKLYN,1007359.0,184946.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6742806375732,-73.91669062730395,POINT (-73.916690627304 40.674280637573)
70100987,2026-08-18T01:40:05.000,,NYPD,New York City Police Department,Noise - Residential,Loud Television,,Residential Building/House,11201.0,190 YORK STREET,YORK STREET,BRIDGE STREET,GOLD STREET,BRIDGE STREET,GOLD STREET,ADDRESS,BROOKLYN,YORK STREET,,In Progress,,,,02 BROOKLYN,35.0,Precinct 84,3000680001.0,BROOKLYN,988838.0,194807.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70137579240106,-73.98345325660519,POINT (-73.983453256605 40.701375792401)
70096314,2026-08-18T01:39:53.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11207.0,73A COOPER STREET,COOPER STREET,BUSHWICK AVENUE,EVERGREEN AVENUE,BUSHWICK AVENUE,EVERGREEN AVENUE,ADDRESS,BROOKLYN,COOPER STREET,,In Progress,,,,04 BROOKLYN,37.0,Precinct 83,3034330057.0,BROOKLYN,1009353.0,189078.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68561660471318,-73.90948674703905,POINT (-73.909486747039 40.685616604713)
70091834,2026-08-18T01:38:26.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,10452.0,957 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST 162 STREET,WEST 163 STREET,WEST 162 STREET,WEST 163 STREET,ADDRESS,BRONX,WOODYCREST AVENUE,,In Progress,,,,04 BRONX,16.0,Precinct 44,2025110068.0,BRONX,1003936.0,242233.0,PHONE,Unspecified,BRONX,,,,,,,,40.8315271048226,-73.92886303221528,POINT (-73.928863032215 40.831527104823)
70096275,2026-08-18T01:37:54.000,,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,11207.0,117 VAN SICLEN AVENUE,VAN SICLEN AVENUE,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,VAN SICLEN AVENUE,,In Progress,,,,05 BROOKLYN,37.0,Precinct 75,3039470036.0,BROOKLYN,1014343.0,186102.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67743260849383,-73.89150773705173,POINT (-73.891507737052 40.677432608494)
70102452,2026-08-18T01:37:47.000,,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,,Street/Sidewalk,11385.0,75-46 61 STREET,61 STREET,75 AVENUE,ST FELIX AVENUE,75 AVENUE,ST FELIX AVENUE,ADDRESS,RIDGEWOOD,61 STREET,,In Progress,,,,05 QUEENS,30.0,Precinct 104,4035850023.0,QUEENS,1013668.0,193737.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.69839118488808,-73.89390792898706,POINT (-73.893907928987 40.698391184888)
70094835,2026-08-18T01:36:42.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11220.0,445 50 STREET,50 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,50 STREET,,In Progress,,,,07 BROOKLYN,38.0,Precinct 72,3007830058.0,BROOKLYN,981062.0,174567.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.64582215739456,-74.01148803327095,POINT (-74.011488033271 40.645822157395)
70091857,2026-08-18T01:36:30.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10466.0,4008 BARNES AVENUE,BARNES AVENUE,EAST 226 STREET,EAST 227 STREET,EAST 226 STREET,EAST 227 STREET,ADDRESS,BRONX,BARNES AVENUE,,In Progress,,,,12 BRONX,12.0,Precinct 47,2048510141.0,BRONX,1023784.0,262795.0,MOBILE,Unspecified,BRONX,,,,,,,,40.8878969953278,-73.85701947949755,POINT (-73.857019479498 40.887896995328)
70094049,2026-08-18T01:34:48.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,11694.0,114-17 ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,BEACH 114 STREET,BEACH 115 STREET,BEACH 114 STREET,BEACH 115 STREET,ADDRESS,FAR ROCKAWAY,ROCKAWAY BEACH BOULEVARD,,In Progress,,,,14 QUEENS,32.0,Precinct 100,4161870001.0,QUEENS,1029905.0,150719.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.58024733012259,-73.83564256372388,POINT (-73.835642563724 40.580247330123)
70097415,2026-08-18T01:34:15.000,,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Parked In Crosswalk,Street/Sidewalk,10465.0,399 BRINSMADE AVENUE,BRINSMADE AVENUE,MILES AVENUE,SAMPSON AVENUE,MILES AVENUE,SAMPSON AVENUE,ADDRESS,BRONX,BRINSMADE AVENUE,,In Progress,,,,10 BRONX,13.0,Precinct 45,2055810077.0,BRONX,1033437.0,237614.0,MOBILE,Unspecified,BRONX,,,,,,,,40.818734261849904,-73.82229282664272,POINT (-73.822292826643 40.81873426185)
70095540,2026-08-18T01:33:49.000,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,,Street/Sidewalk,11364.0,56-04 OCEANIA STREET,OCEANIA STREET,56 AVENUE,58 AVENUE,56 AVENUE,58 AVENUE,ADDRESS,OAKLAND GARDENS,OCEANIA STREET,,In Progress,,,,11 QUEENS,23.0,Precinct 111,4074370006.0,QUEENS,1048159.0,212284.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.74911615649797,-73.76934506092466,POINT (-73.769345060925 40.749116156498)
70099710,2026-08-18T01:33:41.000,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,,Street/Sidewalk,11106.0,30-09 BROADWAY,BROADWAY,30 STREET,31 STREET,30 STREET,31 STREET,ADDRESS,ASTORIA,BROADWAY,,In Progress,,,,01 QUEENS,22.0,Precinct 114,4005890005.0,QUEENS,1004746.0,217004.0,ONLINE,Unspecified,QUEENS,Other,,,,,,,40.76227854109808,-73.92601303458156,POINT (-73.926013034582 40.762278541098)
70102439,2026-08-18T01:33:01.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,11691.0,12-12 SEAGIRT BOULEVARD,SEAGIRT BOULEVARD,SEAGIRT BOULEVARD,HEYSON ROAD,SEAGIRT BOULEVARD,HEYSON ROAD,ADDRESS,FAR ROCKAWAY,SEAGIRT BOULEVARD,,In Progress,,,,14 QUEENS,31.0,Precinct 101,4156207501.0,QUEENS,1054532.0,156490.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.59592647131984,-73.7469260529527,POINT (-73.746926052953 40.59592647132)
70095476,2026-08-18T01:32:46.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11417.0,94-16 134 AVENUE,134 AVENUE,CROSS BAY BOULEVARD,94 PLACE,CROSS BAY BOULEVARD,94 PLACE,ADDRESS,OZONE PARK,134 AVENUE,,In Progress,,,,10 QUEENS,32.0,Precinct 106,4114930046.0,QUEENS,1027915.0,185143.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.67474383184503,-73.84258382306805,POINT (-73.842583823068 40.674743831845)
70097728,2026-08-18T01:32:00.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Passenger,Unsafe Driving,,11215.0,277 11 STREET,11 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,11 STREET,,In Progress,,,,06 BROOKLYN,38.0,Precinct 78,3010160066.0,BROOKLYN,987398.0,182881.0,MOBILE,Unspecified,BROOKLYN,,,"277 11 STREET, BROOKLYN, NY, 11215",,,,,40.66864227748754,-73.98865222654649,POINT (-73.988652226546 40.668642277488)
70093244,2026-08-18T01:31:25.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,10452.0,97 WEST 163 STREET,WEST 163 STREET,WOODYCREST AVENUE,OGDEN AVENUE,WOODYCREST AVENUE,OGDEN AVENUE,ADDRESS,BRONX,WEST 163 STREET,,In Progress,,,,04 BRONX,16.0,Precinct 44,2025110153.0,BRONX,1003827.0,242454.0,PHONE,Unspecified,BRONX,,,,,,,,40.83213392840631,-73.92925626748782,POINT (-73.929256267488 40.832133928406)
70095455,2026-08-18T01:31:09.000,,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,,Street/Sidewalk,11385.0,75-46 61 STREET,61 STREET,75 AVENUE,ST FELIX AVENUE,75 AVENUE,ST FELIX AVENUE,ADDRESS,RIDGEWOOD,61 STREET,,In Progress,,,,05 QUEENS,30.0,Precinct 104,4035850023.0,QUEENS,1013668.0,193737.0,PHONE,Unspecified,QUEENS,,,,,,,,40.69839118488808,-73.89390792898706,POINT (-73.893907928987 40.698391184888)
70093329,2026-08-18T01:30:54.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11204.0,2049 71 STREET,71 STREET,20 AVENUE,21 AVENUE,20 AVENUE,21 AVENUE,ADDRESS,BROOKLYN,71 STREET,,In Progress,,,,11 BROOKLYN,43.0,Precinct 62,3061740058.0,BROOKLYN,987497.0,162417.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61247294811184,-73.9883052041266,POINT (-73.988305204127 40.612472948112)
70102625,2026-08-18T01:30:47.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,10033.0,4300 BROADWAY,BROADWAY,WADSWORTH AVENUE,BROADWAY,WADSWORTH AVENUE,BROADWAY,ADDRESS,NEW YORK,BROADWAY,,In Progress,,,,12 MANHATTAN,10.0,Precinct 34,1021640038.0,MANHATTAN,1002326.0,249502.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8514818245853,-73.93466130374979,POINT (-73.93466130375 40.851481824585)
70101625,2026-08-18T01:29:16.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,10452.0,957 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST 162 STREET,WEST 163 STREET,WEST 162 STREET,WEST 163 STREET,ADDRESS,BRONX,WOODYCREST AVENUE,,In Progress,,,,04 BRONX,16.0,Precinct 44,2025110068.0,BRONX,1003936.0,242233.0,PHONE,Unspecified,BRONX,,,,,,,,40.8315271048226,-73.92886303221528,POINT (-73.928863032215 40.831527104823)
70094716,2026-08-18T01:29:08.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,10463.0,3821 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST 238 STREET,STEVENSON PLACE,WEST 238 STREET,STEVENSON PLACE,ADDRESS,BRONX,SEDGWICK AVENUE,,In Progress,,,,08 BRONX,11.0,Precinct 50,2032630316.0,BRONX,1013053.0,260730.0,MOBILE,Unspecified,BRONX,,,,,,,,40.88227077130082,-73.89583855511626,POINT (-73.895838555116 40.882270771301)
70100422,2026-08-18T01:28:53.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,,Street/Sidewalk,11217.0,3 AVENUE,3 AVENUE,3 AVENUE,WARREN STREET,3 AVENUE,WARREN STREET,INTERSECTION,,,,In Progress,,,,06 BROOKLYN,39.0,Precinct 78,,BROOKLYN,989005.0,187802.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68214859644519,-73.98285591118919,POINT (-73.982855911189 40.682148596445)
70096293,2026-08-18T01:27:59.000,2026-08-18T01:39:30.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11231.0,429 COLUMBIA STREET,COLUMBIA STREET,VERONA STREET,WEST 9 STREET,VERONA STREET,WEST 9 STREET,ADDRESS,BROOKLYN,COLUMBIA STREET,,Closed,,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2026-08-18T01:39:36.000,06 BROOKLYN,38.0,Precinct 76,3005340006.0,BROOKLYN,982498.0,186123.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67754122595004,-74.00631637609516,POINT (-74.006316376095 40.67754122595)
70096037,2026-08-18T01:27:51.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,,Street/Sidewalk,10460.0,1705 HOE AVENUE,HOE AVENUE,EAST 173 STREET,EAST 174 STREET,EAST 173 STREET,EAST 174 STREET,ADDRESS,BRONX,HOE AVENUE,,In Progress,,,,03 BRONX,17.0,Precinct 42,2029830030.0,BRONX,1015446.0,244002.0,ONLINE,Unspecified,BRONX,,,,,,,,40.83634934042209,-73.88726251817741,POINT (-73.887262518177 40.836349340422)
