unique_key,created_date,complaint_type,descriptor,status,agency,agency_name,incident_zip,city,borough,street_name,latitude,longitude,location
70093689,2026-08-17T23:34:33.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,11104.0,SUNNYSIDE,QUEENS,44 STREET,40.74192279105516,-73.9208318614094,POINT (-73.920831861409 40.741922791055)
70094823,2026-08-17T23:34:12.000,Street Condition,Plate Condition - Noisy,In Progress,DOT,Department of Transportation,11233.0,BROOKLYN,BROOKLYN,ATLANTIC AVENUE,40.6770078289357,-73.9229674966491,POINT (-73.922967496649 40.677007828936)
70099962,2026-08-17T23:33:00.000,Traffic Signal Condition,APS,Open,DOT,Department of Transportation,10303.0,STATEN ISLAND,STATEN ISLAND,,40.62491266759044,-74.14670038715856,POINT (-74.146700387159 40.62491266759)
70098565,2026-08-17T23:33:00.000,Traffic Signal Condition,Veh Signal Lamp,Open,DOT,Department of Transportation,11210.0,BROOKLYN,BROOKLYN,,40.62854019479645,-73.9530330256245,POINT (-73.953033025624 40.628540194796)
70101303,2026-08-17T23:32:11.000,Illegal Dumping,Removal Request,In Progress,DSNY,Department of Sanitation,11694.0,FAR ROCKAWAY,QUEENS,BEACH 112 STREET,40.5798348114986,-73.833184799543,POINT (-73.833184799543 40.579834811499)
70096435,2026-08-17T23:32:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,10458.0,BRONX,BRONX,,40.875743000241904,-73.88342424960511,POINT (-73.883424249605 40.875743000242)
70099133,2026-08-17T23:28:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,10458.0,BRONX,BRONX,,40.87394794768687,-73.88340208551921,POINT (-73.883402085519 40.873947947687)
70097781,2026-08-17T23:26:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,11359.0,BAYSIDE,QUEENS,MURRAY AVENUE,40.79313956214911,-73.77792516542496,POINT (-73.777925165425 40.793139562149)
70094306,2026-08-17T23:25:59.000,Dirty Condition,Trash,In Progress,DSNY,Department of Sanitation,11103.0,ASTORIA,QUEENS,30 ROAD,40.76068678518188,-73.91078892152852,POINT (-73.910788921529 40.760686785182)
70096252,2026-08-17T23:22:41.000,Street Condition,Plate Condition - Noisy,In Progress,DOT,Department of Transportation,11233.0,BROOKLYN,BROOKLYN,ATLANTIC AVENUE,40.6770078289357,-73.9229674966491,POINT (-73.922967496649 40.677007828936)
70097349,2026-08-17T23:20:21.000,Water Maintenance,Fire Hydrant Running,In Progress,DEP,Department of Environmental Protection,11225.0,BROOKLYN,BROOKLYN,RUTLAND ROAD,40.65947789215499,-73.94944662865485,POINT (-73.949446628655 40.659477892155)
70096812,2026-08-17T23:16:56.000,Damaged Tree,Tree Alive - in Poor Condition,In Progress,DPR,Department of Parks and Recreation,11104.0,SUNNYSIDE,QUEENS,46 STREET,40.7481786293699,-73.91770258878559,POINT (-73.917702588786 40.74817862937)
70099139,2026-08-17T23:16:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,,,BROOKLYN,24 ST E,,,
70101780,2026-08-17T23:15:56.000,Street Condition,Cave-in,In Progress,DOT,Department of Transportation,10468.0,BRONX,BRONX,WEST KINGSBRIDGE ROAD,40.86945427504164,-73.90355995424228,POINT (-73.903559954242 40.869454275042)
70092903,2026-08-17T23:15:29.000,Illegal Dumping,Removal Request,In Progress,DSNY,Department of Sanitation,11369.0,EAST ELMHURST,QUEENS,94 STREET,40.76577609991753,-73.87582631509524,POINT (-73.875826315095 40.765776099918)
70097314,2026-08-17T23:14:45.000,Sewer Maintenance,Catch Basin Search,In Progress,DEP,Department of Environmental Protection,11249.0,BROOKLYN,BROOKLYN,BEDFORD AVENUE,40.71609006262426,-73.95961241441118,POINT (-73.959612414411 40.716090062624)
70098576,2026-08-17T23:13:00.000,Traffic Signal Condition,Ped Multiple Lamps,Open,DOT,Department of Transportation,10463.0,BRONX,BRONX,,40.87892448779634,-73.90478656028658,POINT (-73.904786560287 40.878924487796)
70096515,2026-08-17T23:09:04.000,WATER LEAK,HEAVY FLOW,Open,HPD,Department of Housing Preservation and Development,10468.0,BRONX,BRONX,DAVIDSON AVENUE,40.86722705569687,-73.89887023480846,POINT (-73.898870234808 40.867227055697)
70094594,2026-08-17T23:06:24.000,Sewer Maintenance,Catch Basin Clogged,In Progress,DEP,Department of Environmental Protection,11378.0,,QUEENS,56 AVENUE,40.72507115471292,-73.9042884220636,POINT (-73.904288422064 40.725071154713)
70092291,2026-08-17T23:05:45.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,11224.0,BROOKLYN,BROOKLYN,MERMAID AVENUE,40.57598928164313,-73.99047504549893,POINT (-73.990475045499 40.575989281643)
70101336,2026-08-17T23:04:38.000,Illegal Dumping,Chronic Dumping,In Progress,DSNY,Department of Sanitation,11223.0,BROOKLYN,BROOKLYN,1 COURT,40.60461991549987,-73.96207110997634,POINT (-73.962071109976 40.6046199155)
70093440,2026-08-17T23:04:36.000,Sidewalk Condition,Dumpster - Construction Waste,In Progress,DOT,Department of Transportation,10305.0,STATEN ISLAND,STATEN ISLAND,HYLAN BOULEVARD,40.59854375669357,-74.0793510301603,POINT (-74.07935103016 40.598543756694)
70093014,2026-08-17T23:03:00.000,Traffic Signal Condition,Veh Signal Lamp,Closed,DOT,Department of Transportation,11230.0,BROOKLYN,BROOKLYN,,40.61222688596051,-73.96570811715316,POINT (-73.965708117153 40.612226885961)
70102072,2026-08-17T23:02:42.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,10025.0,NEW YORK,MANHATTAN,COLUMBUS AVENUE,40.80025026870104,-73.9621185662699,POINT (-73.96211856627 40.800250268701)
70092303,2026-08-17T23:01:49.000,UNSANITARY CONDITION,MOLD,Open,HPD,Department of Housing Preservation and Development,10025.0,NEW YORK,MANHATTAN,COLUMBUS AVENUE,40.80025026870104,-73.9621185662699,POINT (-73.96211856627 40.800250268701)
70093709,2026-08-17T23:01:49.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,10025.0,NEW YORK,MANHATTAN,COLUMBUS AVENUE,40.80025026870104,-73.9621185662699,POINT (-73.96211856627 40.800250268701)
70097585,2026-08-17T23:01:48.000,Sidewalk Condition,Dumpster - Construction Waste,In Progress,DOT,Department of Transportation,10305.0,STATEN ISLAND,STATEN ISLAND,HYLAN BOULEVARD,40.59854375669357,-74.0793510301603,POINT (-74.07935103016 40.598543756694)
70095078,2026-08-17T23:00:01.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,10463.0,BRONX,BRONX,HEATH AVENUE,40.87762640571195,-73.90170027928347,POINT (-73.901700279283 40.877626405712)
70093653,2026-08-17T23:00:01.000,WATER LEAK,SLOW LEAK,Open,HPD,Department of Housing Preservation and Development,10463.0,BRONX,BRONX,HEATH AVENUE,40.87762640571195,-73.90170027928347,POINT (-73.901700279283 40.877626405712)
70097863,2026-08-17T23:00:01.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,10463.0,BRONX,BRONX,HEATH AVENUE,40.87762640571195,-73.90170027928347,POINT (-73.901700279283 40.877626405712)
70102029,2026-08-17T22:59:20.000,UNSANITARY CONDITION,SEWAGE,Open,HPD,Department of Housing Preservation and Development,11206.0,BROOKLYN,BROOKLYN,CENTRAL AVENUE,40.70043028075924,-73.9292986507771,POINT (-73.929298650777 40.700430280759)
70096555,2026-08-17T22:59:20.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,11206.0,BROOKLYN,BROOKLYN,CENTRAL AVENUE,40.70043028075924,-73.9292986507771,POINT (-73.929298650777 40.700430280759)
70093664,2026-08-17T22:59:20.000,WATER LEAK,HEAVY FLOW,Open,HPD,Department of Housing Preservation and Development,11206.0,BROOKLYN,BROOKLYN,CENTRAL AVENUE,40.70043028075924,-73.9292986507771,POINT (-73.929298650777 40.700430280759)
70100690,2026-08-17T22:59:20.000,UNSANITARY CONDITION,MOLD,Open,HPD,Department of Housing Preservation and Development,11206.0,BROOKLYN,BROOKLYN,CENTRAL AVENUE,40.70043028075924,-73.9292986507771,POINT (-73.929298650777 40.700430280759)
70099142,2026-08-17T22:59:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,11366.0,FRESH MEADOWS,QUEENS,162 STREET,40.72749084460407,-73.80700753761462,POINT (-73.807007537615 40.727490844604)
70093718,2026-08-17T22:55:23.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,11224.0,BROOKLYN,BROOKLYN,WEST   24 STREET,40.57432596069376,-73.99084604833183,POINT (-73.990846048332 40.574325960694)
70100610,2026-08-17T22:52:54.000,WATER LEAK,SLOW LEAK,Open,HPD,Department of Housing Preservation and Development,10029.0,NEW YORK,MANHATTAN,EAST  111 STREET,40.797228382444864,-73.9481646003152,POINT (-73.948164600315 40.797228382445)
70097147,2026-08-17T22:50:45.000,Dirty Condition,Trash,In Progress,DSNY,Department of Sanitation,11249.0,BROOKLYN,BROOKLYN,NORTH 6 STREET,40.72007653272768,-73.96281349306962,POINT (-73.96281349307 40.720076532728)
70093708,2026-08-17T22:47:04.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,10021.0,NEW YORK,MANHATTAN,EAST   73 STREET,40.76915616970797,-73.9571108581545,POINT (-73.957110858154 40.769156169708)
70095328,2026-08-17T22:46:49.000,Damaged Tree,Tree Alive - in Poor Condition,In Progress,DPR,Department of Parks and Recreation,11212.0,BROOKLYN,BROOKLYN,NEWPORT STREET,40.65916309151905,-73.91031557443544,POINT (-73.910315574435 40.659163091519)
70101382,2026-08-17T22:43:00.000,Traffic Signal Condition,Controller,Open,DOT,Department of Transportation,10303.0,STATEN ISLAND,STATEN ISLAND,,40.6371447127289,-74.16016309064139,POINT (-74.160163090641 40.637144712729)
70094333,2026-08-17T22:42:00.000,Illegal Dumping,Removal Request,In Progress,DSNY,Department of Sanitation,11214.0,BROOKLYN,BROOKLYN,81 STREET,40.61132895110753,-74.00171439095294,POINT (-74.001714390953 40.611328951108)
70093584,2026-08-17T22:41:06.000,Sidewalk Condition,Sidewalk Violation,In Progress,DOT,Department of Transportation,11414.0,HOWARD BEACH,QUEENS,103 STREET,40.66130534887516,-73.83095541071582,POINT (-73.830955410716 40.661305348875)
70100584,2026-08-17T22:40:46.000,UNSANITARY CONDITION,SEWAGE,Open,HPD,Department of Housing Preservation and Development,11372.0,JACKSON HEIGHTS,QUEENS,80 STREET,40.74922491106065,-73.88609984907838,POINT (-73.886099849078 40.749224911061)
70101960,2026-08-17T22:39:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,11218.0,BROOKLYN,BROOKLYN,MC DONALD AVENUE,40.63372155648661,-73.97772345335677,POINT (-73.977723453357 40.633721556487)
70094985,2026-08-17T22:39:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,11372.0,QUEENS,QUEENS,,40.75480699445773,-73.8748108584922,POINT (-73.874810858492 40.754806994458)
70097776,2026-08-17T22:35:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,10453.0,BRONX,BRONX,HARRISON AVENUE,40.85280013042004,-73.91126903676994,POINT (-73.91126903677 40.85280013042)
70093687,2026-08-17T22:34:40.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,11435.0,JAMAICA,QUEENS,143 STREET,40.70749157173203,-73.81311415301096,POINT (-73.813114153011 40.707491571732)
70100548,2026-08-17T22:34:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,11223.0,BROOKLYN,BROOKLYN,KINGS HIGHWAY,40.60450959915365,-73.96953305394563,POINT (-73.969533053946 40.604509599154)
70093418,2026-08-17T22:30:03.000,Street Condition,Blocked - Construction,In Progress,DOT,Department of Transportation,10010.0,,MANHATTAN,EAST 22 STREET,40.73952289028916,-73.98685029320727,POINT (-73.986850293207 40.739522890289)
70092175,2026-08-17T22:30:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,10031.0,NEW YORK,MANHATTAN,WEST  150 STREET,40.82895390099254,-73.94658971824167,POINT (-73.946589718242 40.828953900993)
70097119,2026-08-17T22:29:25.000,Illegal Dumping,Removal Request,In Progress,DSNY,Department of Sanitation,11367.0,FLUSHING,QUEENS,63 AVENUE,40.740250591203065,-73.83105102194008,POINT (-73.83105102194 40.740250591203)
70097828,2026-08-17T22:26:54.000,WATER LEAK,SLOW LEAK,Open,HPD,Department of Housing Preservation and Development,10452.0,BRONX,BRONX,OGDEN AVENUE,40.84184449838968,-73.92458008252996,POINT (-73.92458008253 40.84184449839)
70095742,2026-08-17T22:26:25.000,Dirty Condition,Trash,In Progress,DSNY,Department of Sanitation,11221.0,BROOKLYN,BROOKLYN,WILLOUGHBY AVENUE,40.69786470192175,-73.93057801502643,POINT (-73.930578015026 40.697864701922)
70101374,2026-08-17T22:26:20.000,Street Condition,Pothole,Open,DOT,Department of Transportation,11420.0,QUEENS,QUEENS,126 STREET,,,
70093411,2026-08-17T22:26:12.000,Street Condition,Cave-in,In Progress,DOT,Department of Transportation,11211.0,,BROOKLYN,BEDFORD AVENUE,40.70953429053792,-73.96402770860279,POINT (-73.964027708603 40.709534290538)
70102049,2026-08-17T22:25:50.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,11232.0,BROOKLYN,BROOKLYN,40 STREET,40.65129569836895,-74.00548501288445,POINT (-74.005485012884 40.651295698369)
70094992,2026-08-17T22:24:00.000,Street Light Condition,Street Light Out,Open,DOT,Department of Transportation,10467.0,BRONX,BRONX,OLINVILLE AVENUE,40.87431304997016,-73.86815676822707,POINT (-73.868156768227 40.87431304997)
70102048,2026-08-17T22:23:09.000,UNSANITARY CONDITION,PESTS,Open,HPD,Department of Housing Preservation and Development,10040.0,NEW YORK,MANHATTAN,WADSWORTH TERRACE,40.856941442167965,-73.93065056109972,POINT (-73.9306505611 40.856941442168)
70093426,2026-08-17T22:22:30.000,Street Condition,Cave-in,In Progress,DOT,Department of Transportation,11420.0,SOUTH OZONE PARK,QUEENS,129 STREET,40.66529960223709,-73.81188785595637,POINT (-73.811887855956 40.665299602237)
70102023,2026-08-17T22:22:29.000,WATER LEAK,HEAVY FLOW,Open,HPD,Department of Housing Preservation and Development,11221.0,BROOKLYN,BROOKLYN,CORNELIA STREET,40.693795202937046,-73.91196747190396,POINT (-73.911967471904 40.693795202937)
70102010,2026-08-17T22:22:29.000,WATER LEAK,SLOW LEAK,Open,HPD,Department of Housing Preservation and Development,11221.0,BROOKLYN,BROOKLYN,CORNELIA STREET,40.693795202937046,-73.91196747190396,POINT (-73.911967471904 40.693795202937)
70098700,2026-08-17T22:22:09.000,Water Maintenance,Fire Hydrant Running,In Progress,DEP,Department of Environmental Protection,11369.0,,QUEENS,ASTORIA BOULEVARD,40.76074897156825,-73.86242548324492,POINT (-73.862425483245 40.760748971568)
70093181,2026-08-17T22:21:01.000,Sewer Maintenance,Catch Basin Clogged,In Progress,DEP,Department of Environmental Protection,10304.0,,STATEN ISLAND,JACKSON STREET,40.63079220048479,-74.07956230384178,POINT (-74.079562303842 40.630792200485)
70091601,2026-08-17T22:21:00.000,Traffic Signal Condition,Controller,Open,DOT,Department of Transportation,10473.0,BRONX,BRONX,,40.82408344966783,-73.84289897999196,POINT (-73.842898979992 40.824083449668)
70098492,2026-08-17T22:20:55.000,Dirty Condition,Trash,In Progress,DSNY,Department of Sanitation,10019.0,NEW YORK,MANHATTAN,WEST 49 STREET,40.76338609191518,-73.990639570203,POINT (-73.990639570203 40.763386091915)
70095060,2026-08-17T22:19:45.000,UNSANITARY CONDITION,SEWAGE,Open,HPD,Department of Housing Preservation and Development,10457.0,BRONX,BRONX,CROTONA AVENUE,40.845813736459135,-73.89077409368731,POINT (-73.890774093687 40.845813736459)
70097918,2026-08-17T22:19:45.000,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,Open,HPD,Department of Housing Preservation and Development,10457.0,BRONX,BRONX,CROTONA AVENUE,40.845813736459135,-73.89077409368731,POINT (-73.890774093687 40.845813736459)
70097827,2026-08-17T22:19:45.000,WATER LEAK,SLOW LEAK,Open,HPD,Department of Housing Preservation and Development,10457.0,BRONX,BRONX,CROTONA AVENUE,40.845813736459135,-73.89077409368731,POINT (-73.890774093687 40.845813736459)
70100702,2026-08-17T22:19:45.000,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,Open,HPD,Department of Housing Preservation and Development,10457.0,BRONX,BRONX,CROTONA AVENUE,40.845813736459135,-73.89077409368731,POINT (-73.890774093687 40.845813736459)
70092187,2026-08-17T22:19:00.000,Street Light Condition,Fixture/Luminaire Damaged,Open,DOT,Department of Transportation,10308.0,STATEN ISLAND,STATEN ISLAND,HOWTON AVENUE,40.5568850687875,-74.15123296695107,POINT (-74.151232966951 40.556885068788)
70096257,2026-08-17T22:17:46.000,Street Condition,Defective Hardware,In Progress,DOT,Department of Transportation,11433.0,JAMAICA,QUEENS,167 STREET,40.69490897796814,-73.78600205361991,POINT (-73.78600205362 40.694908977968)
70101361,2026-08-17T22:17:26.000,Street Condition,Pothole,Closed,DOT,Department of Transportation,10462.0,BRONX,BRONX,,40.84522234470851,-73.86611811453585,POINT (-73.866118114536 40.845222344709)
70091582,2026-08-17T22:17:26.000,Street Condition,Pothole,Closed,DOT,Department of Transportation,10462.0,BRONX,BRONX,,40.84522234470851,-73.86611811453585,POINT (-73.866118114536 40.845222344709)
70091583,2026-08-17T22:17:26.000,Street Condition,Pothole,Closed,DOT,Department of Transportation,10462.0,BRONX,BRONX,,40.84522234470851,-73.86611811453585,POINT (-73.866118114536 40.845222344709)
70101360,2026-08-17T22:17:26.000,Street Condition,Pothole,Closed,DOT,Department of Transportation,10462.0,BRONX,BRONX,,40.84522234470851,-73.86611811453585,POINT (-73.866118114536 40.845222344709)
70091750,2026-08-17T22:17:20.000,Water Maintenance,No Water,Closed,DEP,Department of Environmental Protection,11423.0,HOLLIS,QUEENS,187 STREET,40.71400225381164,-73.77482329768047,POINT (-73.77482329768 40.714002253812)
70100139,2026-08-17T22:17:15.000,Sewer Maintenance,Catch Basin Clogged,In Progress,DEP,Department of Environmental Protection,11434.0,JAMAICA,QUEENS,144 AVENUE,40.669169639834415,-73.77233594295367,POINT (-73.772335942954 40.669169639834)
